policy_seed,episode,mean_reward,actor_loss,critic_loss,replay_size
501.0,1.0,0.21658417385056183,1.050485899344411,0.9899516768136907,640.0
501.0,2.0,0.2106586219551579,0.816973025005485,1.0164695037843225,1280.0
501.0,3.0,0.16521239470582616,0.8952398672003992,0.518746550940995,1920.0
501.0,4.0,0.23010105588696617,1.0613369637490297,0.47322878743929364,2560.0
501.0,5.0,0.20718783853505643,0.912872090659123,0.4384004877683863,3200.0
501.0,6.0,0.1361086642528846,0.8109312859918607,0.32707121492989855,3840.0
501.0,7.0,0.19375059809727924,1.0483938255452425,0.5337257372828984,4480.0
501.0,8.0,0.16862784183949375,0.9595403045825922,0.5783876965070883,5120.0
501.0,9.0,0.08214552792223895,1.0803487367536,0.5016174012239804,5740.0
501.0,10.0,0.23312608865221496,1.039179963373451,0.3946513039488596,6380.0
501.0,11.0,0.22065582103144335,0.8605489105502799,0.6125778352963729,7020.0
501.0,12.0,0.13747434361098276,1.0048225848051926,0.20785827039645782,7660.0
501.0,13.0,0.24897278662462236,0.9664592510637566,0.4849781054897533,8300.0
501.0,14.0,0.1902417620026764,0.8667530817199303,0.47311884372947866,8940.0
501.0,15.0,0.10880417288540506,0.8848829738550128,0.24689468174398832,9580.0
501.0,16.0,0.1799812060213869,0.7875526371513945,0.306516309059094,10220.0
501.0,17.0,0.14517362554857022,1.2809210208858635,0.46112535888051065,10860.0
501.0,18.0,0.0829694835831493,1.1385073645702035,0.46024231248537706,11480.0
501.0,19.0,0.24043179046527455,0.8840556341235448,0.3120424738294678,12120.0
501.0,20.0,0.23201321967125427,0.8951293468330181,0.3134011189180976,12760.0
501.0,21.0,0.12591218938051532,0.7068964512151157,0.5348562231771921,13400.0
501.0,22.0,0.21019975336400995,0.7177250787019438,0.40850766027981256,14040.0
501.0,23.0,0.21680692357749762,1.1433707119488776,0.24054831019367548,14680.0
501.0,24.0,0.11819617993546368,0.9616903557642117,0.25999779207385837,15320.0
501.0,25.0,0.18241252387313683,1.0878839599678436,0.40340351784291595,15960.0
501.0,26.0,0.14328290753601208,0.5462879929603429,0.3222756055356174,16600.0
501.0,27.0,0.0822681050517041,0.6590052956751308,0.5678650442876837,17240.0
501.0,28.0,0.23838294610775534,1.065144612808237,0.4131571938819568,17880.0
501.0,29.0,0.21851200921995867,1.1824660958517155,0.1976045008821441,18520.0
501.0,30.0,0.13806274315188366,0.7212146585599979,0.525218760232793,19160.0
501.0,31.0,0.24297493909918477,0.8869968304296505,0.4032293835745315,19800.0
501.0,32.0,0.2011321584559118,0.7177892955071375,0.3393824947531897,20440.0
501.0,33.0,0.1443203472670408,0.7360161529616887,0.40566170910373567,21080.0
501.0,34.0,0.2036683583071474,0.7196176969360589,0.46589528130089947,21720.0
501.0,35.0,0.14744920499217495,0.9165045739000359,0.4382185387383726,22360.0
501.0,36.0,0.08046481721185467,0.7146381506770918,0.32751639360229123,23000.0
501.0,37.0,0.22837505399897423,0.9017366329908392,0.31614157331046044,23640.0
501.0,38.0,0.20380875162992765,0.6199122033809017,0.22113179228760646,24280.0
501.0,39.0,0.1574263170140951,0.8169304692956039,0.3923181092735556,24920.0
501.0,40.0,0.2377282149131293,0.8535306297244848,0.5334787538742982,25560.0
501.0,41.0,0.16167353623349817,0.8335227702762817,0.3866927947868223,26200.0
501.0,42.0,0.13855055550128215,0.6854916390915478,0.4147280099047841,26840.0
501.0,43.0,0.20618781688630694,0.8950380145912323,0.2946773775120159,27480.0
501.0,44.0,0.1818329632485824,0.9943899321387959,0.3443005711051746,28120.0
501.0,45.0,0.0997988716303661,0.567206601546324,0.4197841110733659,28760.0
501.0,46.0,0.24235159372144863,1.0303991260609462,0.6132037073777057,29400.0
501.0,47.0,0.20458706463950638,0.5395648352054867,0.5011977800794885,30040.0
501.0,48.0,0.15783745644213582,1.0903311906682482,0.4536523498594283,30680.0
501.0,49.0,0.22828879688562892,0.9308296695813041,0.32121655709934893,31320.0
501.0,50.0,0.20913519185368012,0.9738665331485704,0.3968874129075177,31960.0
501.0,51.0,0.1460890222717055,0.8325186137719098,0.47205090198893096,32600.0
501.0,52.0,0.19049512400508523,0.7860146628959346,0.3526688061691643,33240.0
501.0,53.0,0.16069592578022313,0.8220937787862308,0.36279532916082247,33880.0
501.0,54.0,0.09174412641020044,0.8722268682368037,0.31387130136275593,34520.0
501.0,55.0,0.23932781550885435,0.9051387010106906,0.535941501531547,35160.0
501.0,56.0,0.22354737638149597,0.882645038059286,0.28053308865292703,35800.0
501.0,57.0,0.13301815154397822,1.041435922156094,0.3666431135392817,36440.0
501.0,58.0,0.22558275527091076,0.8402473841656712,0.42996208046855267,37080.0
501.0,59.0,0.19960979275621601,1.039669982136857,0.42611212170090096,37720.0
501.0,60.0,0.1277638763216094,1.001558166537317,0.3012050494522739,38360.0
501.0,61.0,0.19118825138779064,0.7555575139942868,0.47296371486063116,39000.0
501.0,62.0,0.1495020296741279,0.6546121063354244,0.3365293415712572,39640.0
501.0,63.0,0.0756047434113504,0.9632472044920544,0.5129567145069377,40270.0
501.0,64.0,0.24321187822317808,0.9011238680456406,0.31547217685986206,40910.0
501.0,65.0,0.21392695415816534,1.1058947120122464,0.3527163873225983,41550.0
501.0,66.0,0.1371483224106067,0.7622665083002617,0.4397239761017182,42190.0
501.0,67.0,0.23801241807054033,1.020364012510205,0.38362821865555585,42830.0
501.0,68.0,0.21998612132468184,0.8901354304842723,0.4039833723830606,43470.0
501.0,69.0,0.13995650446613156,0.7246882334131157,0.5371588123888458,44110.0
501.0,70.0,0.1919094076681674,0.7518227173913943,0.4822381035812706,44750.0
501.0,71.0,0.16661021384387303,0.6747710516000236,0.3332533504982857,45390.0
501.0,72.0,0.08772385488946974,0.8217933121172947,0.35910435753401243,46030.0
501.0,73.0,0.24161697231991047,0.7657953381797087,0.20989356674155377,46670.0
501.0,74.0,0.20046785842687007,0.9876045470622091,0.29943691711957143,47310.0
501.0,75.0,0.16402887654137455,0.7743556598429122,0.5412105478630751,47950.0
501.0,76.0,0.19782111149108253,0.9341228081443591,0.4422677211203794,48590.0
